,met.x,met.y,Grid.10km,Expansion,Site.name,Site.ID,Ind.num.cont,Sample.ID,GridRef,Lat,Lng,X,Y,Day.col,Mnth.col,Yr.col,X10km.1st.rec,site.1st.rec,years.col.10km,years.col.site,Scale_dmg,Dmg,Age,cropped,FW_used,Photo.FW.D.ID,Photo.FW.V.ID,HW_used,Photo.HW.D.ID,Photo.HW.V.ID,Landmarked,Hairy_AC,mat.10yr,Date,EveDate,refdate,Jday.col,gen2Jday,volt_num,gen2.yr,gen2.mnth,gen2.day,Jday.diff,lon,lat,dev.tmp
1,266000,90000,SX69,England,Woodcock Wood,WW,1,PA-E-1-WW-2018-01,SX6610090900,50.70228,-3.8975018,266100,90900,14,5,2018,1975,2011,44,8,2,1,3,Y,R,PA_1_WW_01_D_calibrated,PA_1_WW_01_V_calibrated,L,PA_1_WW_01_D_calibrated,PA_1_WW_01_V_calibrated,FW/HW,Med,9.58559,14/05/2018,14/05/2018,31/12/2017,134,248,2,2008,9,4,114,266500,90500,15.5191
2,266000,90000,SX69,England,Woodcock Wood,WW,2,PA-E-1-WW-2018-02,SX6610090900,50.70228,-3.8975018,266100,90900,14,5,2018,1975,2011,44,8,3,2,5,Y,L,PA_1_WW_02_D_calibrated,PA_1_WW_02_V_calibrated,L,PA_1_WW_02_D_calibrated,PA_1_WW_02_V_calibrated,FW/HW,Light,9.58559,14/05/2018,14/05/2018,31/12/2017,134,248,2,2008,9,4,114,266500,90500,15.5191
3,266000,90000,SX69,England,Woodcock Wood,WW,3,PA-E-1-WW-2018-03,SX6610090900,50.70228,-3.8975018,266100,90900,14,5,2018,1975,2011,44,8,3,1,4,Y,L,PA_1_WW_03_D_calibrated,PA_1_WW_03_V_calibrated,L,PA_1_WW_03_D_calibrated,PA_1_WW_03_V_calibrated,FW/HW,Light,9.58559,14/05/2018,14/05/2018,31/12/2017,134,248,2,2008,9,4,114,266500,90500,15.5191
4,266000,90000,SX69,England,Woodcock Wood,WW,4,PA-E-1-WW-2018-04,SX6610090900,50.70228,-3.8975018,266100,90900,14,5,2018,1975,2011,44,8,2,1,3,Y,L,PA_1_WW_04_D_calibrated,PA_1_WW_04_V_calibrated,L,PA_1_WW_04_D_calibrated,PA_1_WW_04_V_calibrated,FW/HW,Med,9.58559,14/05/2018,14/05/2018,31/12/2017,134,248,2,2008,9,4,114,266500,90500,15.5191
5,266000,90000,SX69,England,Woodcock Wood,WW,5,PA-E-1-WW-2018-05,SX6610090900,50.70228,-3.8975018,266100,90900,14,5,2018,1975,2011,44,8,3,1,4,Y,L,PA_1_WW_05_D_calibrated,PA_1_WW_05_V_calibrated,L,PA_1_WW_05_D_calibrated,PA_1_WW_05_V_calibrated,FW/HW,Med,9.58559,14/05/2018,14/05/2018,31/12/2017,134,248,2,2008,9,4,114,266500,90500,15.5191
6,266000,90000,SX69,England,Woodcock Wood,WW,6,PA-E-1-WW-2018-06,SX6610090900,50.70228,-3.8975018,266100,90900,14,5,2018,1975,2011,44,8,3,1,4,Y,L,PA_1_WW_06_D_calibrated,PA_1_WW_06_V_calibrated,L,PA_1_WW_06_D_calibrated,PA_1_WW_06_V_calibrated,FW/HW,Very,9.58559,14/05/2018,14/05/2018,31/12/2017,134,248,2,2008,9,4,114,266500,90500,15.5191
7,266000,90000,SX69,England,Woodcock Wood,WW,7,PA-E-1-WW-2018-07,SX6610090900,50.70228,-3.8975018,266100,90900,14,5,2018,1975,2011,44,8,2,1,3,Y,L,PA_1_WW_07_D_calibrated,PA_1_WW_07_V_calibrated,L,PA_1_WW_07_D_calibrated,PA_1_WW_07_V_calibrated,FW/HW,Med,9.58559,14/05/2018,14/05/2018,31/12/2017,134,248,2,2008,9,4,114,266500,90500,15.5191
8,266000,90000,SX69,England,Woodcock Wood,WW,8,PA-E-1-WW-2018-08,SX6610090900,50.70228,-3.8975018,266100,90900,14,5,2018,1975,2011,44,8,2,1,3,Y,R,PA_1_WW_08_D_calibrated,PA_1_WW_08_V_calibrated,L,PA_1_WW_08_D_calibrated,PA_1_WW_08_V_calibrated,FW/HW,Med,9.58559,14/05/2018,14/05/2018,31/12/2017,134,248,2,2008,9,4,114,266500,90500,15.5191
9,266000,90000,SX69,England,Woodcock Wood,WW,9,PA-E-1-WW-2018-09,SX6610090900,50.70228,-3.8975018,266100,90900,14,5,2018,1975,2011,44,8,2,1,3,Y,L,PA_1_WW_09_D_calibrated,PA_1_WW_09_V_calibrated,L,PA_1_WW_09_D_calibrated,PA_1_WW_09_V_calibrated,FW/HW,Very,9.58559,14/05/2018,14/05/2018,31/12/2017,134,248,2,2008,9,4,114,266500,90500,15.5191
10,266000,90000,SX69,England,Woodcock Wood,WW,10,PA-E-1-WW-2018-10,SX6610090900,50.70228,-3.8975018,266100,90900,14,5,2018,1975,2011,44,8,3,2,5,Y,R,PA_1_WW_10_D_calibrated,PA_1_WW_10_V_calibrated,L,PA_1_WW_10_D_calibrated,PA_1_WW_10_V_calibrated,FW/HW,Very,9.58559,14/05/2018,14/05/2018,31/12/2017,134,248,2,2008,9,4,114,266500,90500,15.5191
